DateTime_UTC,WaveSpeed_μs
2020-11-02 22:30:03.116861,7270
2020-11-02 22:30:03.125975,7220
2020-11-02 22:30:03.141289,7247
2020-11-02 22:30:03.155014,7249
2020-11-02 22:30:03.168444,7247
2020-11-02 22:30:03.181976,7272
2020-11-02 22:30:03.195226,7297
2020-11-02 22:30:03.208920,7218
2020-11-02 22:30:03.222438,7270
2020-11-02 22:30:03.235558,7220
